source,id,muni,date,severity,time,police,pedestrian,cyclist,other,lat,lng,interstate
MassDOT,5051236,EVERETT,01/01/2022,,11:34 AM,Local,,,,42.4086884,-71.03883549,
MassDOT,5051578,BRAINTREE,01/02/2022,2,11:49 AM,Local,,,,42.18596714,-70.99268919,
MassDOT,5051661,DEDHAM,01/02/2022,,12:36 PM,Local,,,,42.23050812,-71.17429399,
MassDOT,5051674,EVERETT,01/02/2022,2,10:17 PM,Local,,,,42.42031941,-71.04376676,
MassDOT,5051675,EVERETT,01/03/2022,2,3:12 AM,Local,,,,42.40630623,-71.06199465,
MassDOT,5051763,CHELSEA,01/01/2022,,3:00 AM,Local,,,,42.40026853,-71.03201898,
MassDOT,5051764,DOVER,01/03/2022,,11:10 AM,Local,,,,42.24425831,-71.28012344,
MassDOT,5051855,BEVERLY,01/02/2022,,12:18 PM,Local,,,,42.58960008,-70.86421564,
MassDOT,5051865,EVERETT,01/03/2022,,4:38 PM,Local,,,,42.41109035,-71.06274126,
MassDOT,5051906,WINTHROP,01/01/2022,,9:43 PM,Local,,,,42.38223287,-70.98251506,
MassDOT,5051971,FOXBOROUGH,01/02/2022,,1:33 AM,Local,,,,42.06567,-71.23342738,
MassDOT,5051972,FOXBOROUGH,01/01/2022,2,2:27 AM,Local,,,,42.0647976,-71.24945741,
MassDOT,5051975,HUDSON,01/02/2022,,5:57 PM,Local,,,,42.38980871,-71.51184944,
MassDOT,5052013,BRAINTREE,01/03/2022,2,12:04 PM,Local,,,,42.18709912,-70.97465985,
MassDOT,5052014,BRAINTREE,01/03/2022,2,5:07 PM,Local,,,,42.18487722,-71.00045274,
MassDOT,5052120,WALPOLE,01/01/2022,,3:41 PM,Local,,,,42.15619141,-71.24772588,
MassDOT,5052133,BEDFORD,01/02/2022,2,1:48 PM,Local,,,,42.48515682,-71.26055232,
MassDOT,5052363,WESTWOOD,01/01/2022,,10:40 AM,Local,,,,42.21542898,-71.18945484,
MassDOT,5052364,EVERETT,01/04/2022,,10:53 AM,Local,,,,42.41361805,-71.04639559,
MassDOT,5052365,EVERETT,01/05/2022,2,12:01 AM,Local,,,,42.4112328,-71.05450523,
MassDOT,5052440,WALTHAM,01/02/2022,,2:55 PM,Local,,,,42.37365599,-71.24472167,
MassDOT,5052446,WALTHAM,01/01/2022,2,4:32 PM,Local,,,,42.37170622,-71.21348517,
MassDOT,5052472,BEVERLY,01/03/2022,,4:26 PM,Local,,,,42.5670922,-70.8790227,
MassDOT,5052509,MEDFORD,01/03/2022,,8:00 AM,Local,,,,42.41925576,-71.10904551,
MassDOT,5052514,MEDFORD,01/03/2022,2,10:49 AM,Local,,,,42.42517201,-71.1156191,
MassDOT,5052515,MEDFORD,01/02/2022,,4:52 PM,Local,,,,42.41367103,-71.11072152,
MassDOT,5052516,MEDFORD,01/01/2022,,12:32 AM,Local,,,,42.41835291,-71.10924371,
MassDOT,5052519,MEDFORD,01/01/2022,,2:09 PM,Local,,,,42.41712746,-71.12189377,
MassDOT,5052540,READING,01/04/2022,,11:24 AM,Local,,,,42.51928128,-71.09707817,
MassDOT,5052542,HULL,01/03/2022,,12:44 AM,Local,,,,42.30448886,-70.88402274,
MassDOT,5052568,SHARON,01/01/2022,2,10:27 PM,Local,,,,42.12341,-71.23106,
MassDOT,5052637,HOPKINTON,01/04/2022,,8:00 PM,Local,,,,42.19912096,-71.56989068,
MassDOT,5052753,WESTWOOD,01/05/2022,2,5:20 PM,Local,,,,42.21879228,-71.1882019,
MassDOT,5052754,WESTWOOD,01/03/2022,,9:48 AM,Local,,,,42.21666477,-71.18113179,
MassDOT,5052762,WALTHAM,01/02/2022,,9:12 PM,Local,,,,42.37618463,-71.23978741,
MassDOT,5052838,REVERE,01/03/2022,,4:57 PM,Local,,,,42.39893634,-71.00722427,
MassDOT,5052839,REVERE,01/02/2022,2,9:39 PM,Local,,,,42.41625547,-71.00337272,
MassDOT,5052840,REVERE,01/03/2022,2,5:36 PM,Local,,,,42.40565489,-71.01549827,
MassDOT,5052923,REVERE,01/01/2022,2,8:48 PM,Local,,,,42.43998398,-71.01599722,
MassDOT,5052925,REVERE,01/01/2022,,3:13 AM,Local,,,,42.43071551,-71.01892163,
MassDOT,5052926,REVERE,01/01/2022,2,5:55 PM,Local,,,,42.43071551,-71.01892163,
MassDOT,5053406,MANCHESTER,01/05/2022,,6:35 AM,Local,,,,,,
MassDOT,5053407,MEDFORD,01/05/2022,,7:54 AM,Local,,,,42.41966201,-71.10145871,
MassDOT,5053434,MIDDLETON,01/04/2022,2,6:48 AM,Local,,,,42.59393569,-71.01518944,
MassDOT,5053436,MIDDLETON,01/02/2022,2,6:40 PM,Local,,,,42.57781097,-70.99841536,
MassDOT,5059685,LYNN,01/11/2022,2,3:01 PM,Local,1,,,42.46442023,-70.96704758,
MassDOT,5053438,ARLINGTON,01/04/2022,2,8:46 AM,Local,,1,,42.41786855,-71.18080088,
MassDOT,5053439,ARLINGTON,01/01/2022,,7:44 AM,Local,,,,42.41538349,-71.15311371,
MassDOT,5053440,ARLINGTON,01/03/2022,2,3:41 PM,Local,,,,42.41856665,-71.16636557,
MassDOT,5053442,WALPOLE,01/04/2022,,10:53 AM,Local,,,,42.15519539,-71.20410091,
MassDOT,5053454,BEDFORD,01/05/2022,,11:37 AM,Local,,,,,,
MassDOT,5053470,WAKEFIELD,01/01/2022,2,10:45 AM,Local,,,,42.50097233,-71.07564776,
MassDOT,5059947,CHELSEA,01/11/2022,2,2:47 PM,Local,1,,,42.40086006,-71.03747993,
