,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
17,BostonVZCrash,17586,BOSTON,2022,2022-03-06,2,16:35:24,,0,0,,42.30014448398101,-71.04967027617751,,2022-03-06 16:35:24,MassDOT,5077838,BOSTON,2022,2022-03-06,0,17:03:00,State,0,0,0.0,42.30062503,-71.04914679,0,2022-03-06 17:03:00,68.50033794640039,1656.0,0.38249763437519724
18,MassDOT,5449199,BOSTON,2022,2022-03-18,0,16:49:00,Local,0,0,0.0,42.33373277,-71.08258144,0,2022-03-18 16:49:00,BostonVZCrash,3973,BOSTON,2022,2022-03-18,2,17:40:53,,0,0,,42.3338261496791,-71.08251021213488,,2022-03-18 17:40:53,11.899396711389103,3113.0,0.6572875563536095
19,BostonVZFatality,121,BOSTON,2022,2022-04-04,1,04:52:46,,0,1,,42.35029305862062,-71.06023883235669,,2022-04-04 04:52:46,BostonVZCrash,32377,BOSTON,2022,2022-04-04,2,04:53:08,,0,1,,42.35029305862062,-71.06023883235669,,2022-04-04 04:53:08,0.0,22.0,0.9981666666666666
20,MassDOT,5096515,BOSTON,2022,2022-04-16,0,00:40:00,State,0,0,0.0,42.36405765,-71.05808411,1,2022-04-16 00:40:00,BostonVZCrash,14928,BOSTON,2022,2022-04-16,2,00:49:42,,0,0,,42.36431896907301,-71.05838976991437,,2022-04-16 00:49:42,38.33822106654805,582.0,0.6831324525341635
21,BostonVZFatality,83,BOSTON,2022,2022-05-13,1,03:49:24,,0,1,,42.37536793206018,-71.03757774695279,,2022-05-13 03:49:24,BostonVZCrash,4149,BOSTON,2022,2022-05-13,2,03:51:44,,0,1,,42.37536793206018,-71.03757774695279,,2022-05-13 03:51:44,0.0,140.0,0.9883333333333333
22,BostonVZFatality,111,BOSTON,2022,2022-05-30,1,00:07:50,,0,1,,42.36124187011271,-71.06690396060965,,2022-05-30 00:07:50,BostonVZCrash,36264,BOSTON,2022,2022-05-30,2,00:08:55,,0,1,,42.36124187011271,-71.06690396060965,,2022-05-30 00:08:55,0.0,65.0,0.9945833333333333
23,BostonVZFatality,93,BOSTON,2022,2022-06-11,1,06:08:19,,0,0,,42.29443688852239,-71.07195645658328,,2022-06-11 06:08:19,BostonVZCrash,18542,BOSTON,2022,2022-06-11,2,06:10:43,,0,0,,42.29443688852239,-71.07195645658328,,2022-06-11 06:10:43,0.0,144.0,0.988
24,BostonVZFatality,45,BOSTON,2022,2022-07-13,1,16:09:14,,1,0,,42.34284918462784,-71.0850258466602,,2022-07-13 16:09:14,BostonVZCrash,36646,BOSTON,2022,2022-07-13,2,16:10:53,,1,0,,42.34284918462784,-71.0850258466602,,2022-07-13 16:10:53,0.0,99.0,0.9917499999999999
25,BostonVZFatality,122,BOSTON,2022,2022-08-03,1,01:58:18,,0,1,,42.3133854236596,-71.09505631954386,,2022-08-03 01:58:18,BostonVZCrash,12861,BOSTON,2022,2022-08-03,2,01:59:28,,1,0,,42.3133854236596,-71.09505631954386,,2022-08-03 01:59:28,0.0,70.0,0.9941666666666666
26,BostonVZFatality,95,BOSTON,2022,2022-10-05,1,00:57:38,,0,1,,42.277841701207294,-71.16164438252093,,2022-10-05 00:57:38,BostonVZCrash,24531,BOSTON,2022,2022-10-05,2,00:58:45,,0,1,,42.277841701207294,-71.16164438252093,,2022-10-05 00:58:45,0.0,67.0,0.9944166666666666
27,MassDOT,5436732,BOSTON,2022,2022-10-09,0,20:29:00,Local,0,0,0.0,42.32772177,-71.07513866,0,2022-10-09 20:29:00,BostonVZCrash,34892,BOSTON,2022,2022-10-09,2,21:23:25,,0,0,,42.32788654960194,-71.07513131512289,,2022-10-09 21:23:25,18.30046442653124,3265.0,0.599813415680948
28,MassDOT,5167626,BOSTON,2022,2022-10-13,0,21:50:00,State,0,0,0.0,42.3008733,-71.04874185,1,2022-10-13 21:50:00,BostonVZCrash,18175,BOSTON,2022,2022-10-13,2,22:35:22,,0,0,,42.30146550561281,-71.0495744777996,,2022-10-13 22:35:22,94.83536803587691,2722.0,0.1093190904155283
29,BostonVZCrash,24054,BOSTON,2022,2022-12-01,2,12:53:01,,1,0,,42.29868030969056,-71.08665732939623,,2022-12-01 12:53:01,MassDOT,5381960,BOSTON,2022,2022-12-01,2,12:59:00,Local,1,0,0.0,42.29814797,-71.0870246,0,2022-12-01 12:59:00,66.33859204504795,359.0,0.5057131890179976
30,MassDOT,5382872,BOSTON,2022,2022-12-06,0,15:36:00,Local,0,0,0.0,42.31732598,-71.09679897,0,2022-12-06 15:36:00,BostonVZCrash,16210,BOSTON,2022,2022-12-06,2,16:32:13,,0,0,,42.31733445683931,-71.09678415476978,,2022-12-06 16:32:13,1.537517146420287,3373.0,0.7081540466417247
31,BostonVZCrash,18891,BOSTON,2023,2023-01-03,2,22:13:11,,0,0,,42.35858681990069,-71.05207015131951,,2023-01-03 22:13:11,MassDOT,5200609,BOSTON,2023,2023-01-03,0,22:19:00,State,0,0,0.0,42.35809883,-71.05137725,1,2023-01-03 22:19:00,78.51182619602031,349.0,0.4213338832945245
32,BostonVZCrash,18891,BOSTON,2023,2023-01-03,2,22:13:11,,0,0,,42.35858681990069,-71.05207015131951,,2023-01-03 22:13:11,MassDOT,5200522,BOSTON,2023,2023-01-03,0,22:32:00,State,0,0,0.0,42.35809883,-71.05137725,1,2023-01-03 22:32:00,78.51182619602031,1129.0,0.35633388329452453
33,BostonVZFatality,55,BOSTON,2023,2023-01-21,1,03:36:40,,0,1,,42.33262014368461,-71.07201818804987,,2023-01-21 03:36:40,BostonVZCrash,15725,BOSTON,2023,2023-01-21,2,03:38:07,,0,1,,42.33262014368461,-71.07201818804987,,2023-01-21 03:38:07,0.0,87.0,0.99275
34,BostonVZCrash,31029,BOSTON,2023,2023-03-16,2,06:26:51,,0,0,,42.36001455228721,-71.07199107122794,,2023-03-16 06:26:51,MassDOT,5235694,BOSTON,2023,2023-03-16,0,07:25:00,State,0,0,0.0,42.35969857,-71.07207596,0,2023-03-16 07:25:00,35.75844274441846,3489.0,0.4589409007890708
35,BostonVZCrash,39688,BOSTON,2023,2023-04-27,2,17:51:54,,0,0,,42.296650356339605,-71.04644259399676,,2023-04-27 17:51:54,MassDOT,5253388,BOSTON,2023,2023-04-27,0,18:13:00,State,0,0,0.0,42.29628572,-71.04622112,0,2023-04-27 18:13:00,44.37167506615034,1266.0,0.5838982745369475
36,MassDOT,5347592,BOSTON,2023,2023-05-02,0,12:21:00,Local,0,0,0.0,42.29975615,-71.06030634,0,2023-05-02 12:21:00,BostonVZCrash,17481,BOSTON,2023,2023-05-02,2,13:06:42,,0,0,,42.29979190638511,-71.06029177971541,,2023-05-02 13:06:42,4.145068301999414,2742.0,0.7424845218860041
37,BostonVZCrash,32296,BOSTON,2023,2023-07-16,2,19:30:04,,0,0,,42.358063731041725,-71.05188343683632,,2023-07-16 19:30:04,MassDOT,5279452,BOSTON,2023,2023-07-16,0,19:55:00,State,0,0,0.0,42.35809883,-71.05137725,1,2023-07-16 19:55:00,41.701507633001526,1496.0,0.5834227799023226
38,BostonVZFatality,15,BOSTON,2023,2023-07-19,1,01:30:00,,0,1,,42.26824135015054,-71.1113451791808,,2023-07-19 01:30:00,BostonVZCrash,5377,BOSTON,2023,2023-07-19,2,01:31:16,,0,1,,42.26824135015054,-71.1113451791808,,2023-07-19 01:31:16,0.0,76.0,0.9936666666666667
39,MassDOT,5349602,BOSTON,2023,2023-07-28,0,13:35:00,Local,0,0,0.0,42.29622597,-71.06715487,0,2023-07-28 13:35:00,BostonVZCrash,30249,BOSTON,2023,2023-07-28,2,14:33:16,,0,0,,42.296154582294655,-71.06716559993572,,2023-07-28 14:33:16,7.972856707517534,3496.0,0.6528566697140439
40,MassDOT,5285723,BOSTON,2023,2023-08-09,2,20:09:00,State,0,0,0.0,42.27807325,-71.07277384,0,2023-08-09 20:09:00,BostonVZCrash,22359,BOSTON,2023,2023-08-09,2,20:42:29,,0,0,,42.278059666297175,-71.07308018620179,,2023-08-09 20:42:29,25.204628826013543,2009.0,0.6561509315512386
