,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
71,BostonVZCrash,7440,BOSTON,2025,2025-07-05,2,04:01:28,,0,0,,42.33563664461931,-71.03522684156663,,2025-07-05 04:01:28,MassDOT,5556766,BOSTON,2025,2025-07-05,2,04:52:00,Local,0,0,0.0,42.33562835,-71.0354429,0,2025-07-05 04:52:00,17.75204202582198,3032.0,0.6230690391525795
72,BostonVZFatality,125,BOSTON,2025,2025-07-12,1,16:07:41,,0,1,,42.30078196791018,-71.06000729390735,,2025-07-12 16:07:41,BostonVZCrash,19222,BOSTON,2025,2025-07-12,2,16:08:34,,0,1,,42.30078196791018,-71.06000729390735,,2025-07-12 16:08:34,0.0,53.0,0.9955833333333333
73,BostonVZCrash,10494,BOSTON,2025,2025-07-20,2,15:19:38,,0,0,,42.29447815259188,-71.13581718475812,,2025-07-20 15:19:38,MassDOT,5556543,BOSTON,2025,2025-07-20,2,16:05:00,Local,0,0,0.0,42.29445928,-71.13587732,0,2025-07-20 16:05:00,5.3634998007194765,2722.0,0.7356221680616304
74,MassDOT,5556711,BOSTON,2025,2025-07-29,2,03:58:00,Local,0,0,0.0,42.31943221,-71.09469021,0,2025-07-29 03:58:00,BostonVZCrash,26512,BOSTON,2025,2025-07-29,2,04:08:41,,0,0,,42.319438092482415,-71.09467625970352,,2025-07-29 04:08:41,1.3180543945302123,641.0,0.9373569525716219
75,BostonVZFatality,78,BOSTON,2025,2025-08-06,1,15:18:26,,0,1,,42.34929906846397,-71.07689323350004,,2025-08-06 15:18:26,BostonVZCrash,27207,BOSTON,2025,2025-08-06,2,15:18:45,,0,1,,42.34929906846397,-71.07689323350004,,2025-08-06 15:18:45,0.0,19.0,0.9984166666666666
76,BostonVZFatality,39,BOSTON,2025,2025-09-29,1,04:22:17,,0,1,,42.273889184135314,-71.11996192790174,,2025-09-29 04:22:17,BostonVZCrash,30723,BOSTON,2025,2025-09-29,2,04:23:18,,0,1,,42.273889184135314,-71.11996192790174,,2025-09-29 04:23:18,0.0,61.0,0.9949166666666667
77,MassDOT,5581320,BOSTON,2025,2025-10-01,0,11:08:00,State,0,0,0.0,42.34767476,-71.05142642,1,2025-10-01 11:08:00,BostonVZCrash,28076,BOSTON,2025,2025-10-01,2,11:33:39,,0,0,,42.34741184541056,-71.05141401467458,,2025-10-01 11:33:39,29.201258657821068,1539.0,0.6673411893952526
78,BostonVZFatality,131,BOSTON,2025,2025-10-06,1,01:38:24,,0,1,,42.32962350766265,-71.11109551286684,,2025-10-06 01:38:24,BostonVZCrash,5894,BOSTON,2025,2025-10-06,2,01:41:14,,0,1,,42.32962350766265,-71.11109551286684,,2025-10-06 01:41:14,0.0,170.0,0.9858333333333333
79,BostonVZFatality,118,BOSTON,2025,2025-10-06,1,11:57:32,,0,1,,42.33384209347465,-71.07302789074302,,2025-10-06 11:57:32,BostonVZCrash,16700,BOSTON,2025,2025-10-06,2,11:58:12,,0,1,,42.33384209347465,-71.07302789074302,,2025-10-06 11:58:12,0.0,40.0,0.9966666666666666
80,BostonVZFatality,35,BOSTON,2025,2025-12-05,1,07:18:18,,0,0,,42.38181297078638,-71.02493972460596,,2025-12-05 07:18:18,BostonVZCrash,24956,BOSTON,2025,2025-12-05,2,07:46:20,,0,0,,42.38181297078638,-71.02493972460596,,2025-12-05 07:46:20,0.0,1682.0,0.8598333333333332
81,MassDOT,5613455,BOSTON,2025,2025-12-25,0,00:19:00,Local,0,0,0.0,42.30439767,-71.08476257,0,2025-12-25 00:19:00,BostonVZCrash,32197,BOSTON,2025,2025-12-25,2,00:57:48,,0,0,,42.30479651226872,-71.08466155606801,,2025-12-25 00:57:48,45.04144409051031,2328.0,0.49070989136642773
82,MassDOT,5613869,BOSTON,2025,2025-12-29,0,21:25:00,State,0,0,0.0,42.2934588,-71.04755532,0,2025-12-29 21:25:00,BostonVZCrash,864,BOSTON,2025,2025-12-29,2,21:44:33,,0,0,,42.293474371372355,-71.04754825063853,,2025-12-29 21:44:33,1.8232838016177593,1173.0,0.8894870133886756
