,source,id,muni,year,date,severity,time,police,pedestrian,cyclist,other,lat,lng,interstate,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
1436,MassDOT,5003814,BOSTON,2021,2021-09-01,0,14:30:00,State,0,0,0,42.30833884,-71.05403692,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1437,MassDOT,5003811,BOSTON,2021,2021-08-26,2,08:30:00,State,0,0,0,42.32414632,-71.05560514,1,,V2:(Collision with motor vehicle in traffic) / V1:(Collision with motor vehicle in traffic)
1438,MassDOT,5003809,BOSTON,2021,2021-08-22,0,23:06:00,State,0,0,0,42.32294113,-71.05445877,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1439,MassDOT,5003804,BOSTON,2021,2021-09-03,0,17:50:00,State,0,0,0,42.3505474,-71.09525867,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1440,MassDOT,5003803,BOSTON,2021,2021-09-01,0,06:14:00,State,0,0,0,42.36372086,-71.07043121,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1441,MassDOT,5003649,BOSTON,2021,2021-08-27,0,09:42:00,State,0,0,0,42.33085811,-71.06157823,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1442,MassDOT,5003648,BOSTON,2021,2021-08-26,0,22:30:00,State,0,0,0,42.32415786,-71.0556084,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1443,MassDOT,5003647,BOSTON,2021,2021-08-25,2,14:30:00,State,0,0,0,42.33364341,-71.06395889,1,,V1:(Collision with guardrail)
1444,MassDOT,5003646,BOSTON,2021,2021-08-24,0,09:27:00,State,0,0,0,42.35782047,-71.0514589,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1445,MassDOT,5003645,BOSTON,2021,2021-08-21,0,11:30:00,State,0,0,0,42.34246019,-71.06245201,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
